User_id,Username,Password,Fav_act,Fav_dir,Fav_genre
1,admin,password,annie_potts,john_lasseter,Adventure
75,user75,password,,,
78,user78,password,,,
127,user127,password,,,
170,user170,password,,,
175,user175,password,,,
190,user190,password,,,
267,user267,password,,,
325,user325,password,,,
383,user383,password,,,
476,user476,password,,,
477,user477,password,,,
493,user493,password,,,
498,user498,password,,,
533,user533,password,,,
545,user545,password,,,
548,user548,password,,,
580,user580,password,,,
622,user622,password,,,
636,user636,password,,,
637,user637,password,,,
728,user728,password,,,
732,user732,password,,,
783,user783,password,,,
788,user788,password,,,
894,user894,password,,,
922,user922,password,,,
937,user937,password,,,
1017,user1017,password,,,
1035,user1035,password,,,
1047,user1047,password,,,
1117,user1117,password,,,
1118,user1118,password,,,
1122,user1122,password,,,
1160,user1160,password,,,
1164,user1164,password,,,
1174,user1174,password,,,
1198,user1198,password,,,
1224,user1224,password,,,
1225,user1225,password,,,
1267,user1267,password,,,
1278,user1278,password,,,
1282,user1282,password,,,
1355,user1355,password,,,
1392,user1392,password,,,
1436,user1436,password,,,
1496,user1496,password,,,
1504,user1504,password,,,
1510,user1510,password,,,
1547,user1547,password,,,
1600,user1600,password,,,
1632,user1632,password,,,
1652,user1652,password,,,
1663,user1663,password,,,
1713,user1713,password,,,
1724,user1724,password,,,
1728,user1728,password,,,
1751,user1751,password,,,
1860,user1860,password,,,
1910,user1910,password,,,
1915,user1915,password,,,
1988,user1988,password,,,
2039,user2039,password,,,
2053,user2053,password,,,
2102,user2102,password,,,
2108,user2108,password,,,
2136,user2136,password,,,
2200,user2200,password,,,
2204,user2204,password,,,
2218,user2218,password,,,
2276,user2276,password,,,
2315,user2315,password,,,
2429,user2429,password,,,
2435,user2435,password,,,
2455,user2455,password,,,
2471,user2471,password,,,
2477,user2477,password,,,
2513,user2513,password,,,
2517,user2517,password,,,
2556,user2556,password,,,
2558,user2558,password,,,
2589,user2589,password,,,
2612,user2612,password,,,
2643,user2643,password,,,
2658,user2658,password,,,
